feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
HILIC.neg_Cluster_0035..serine	antibiotic	Yes	-0.927313939875529	0.454592438215501	220	218	0.0427763190896302	0.163648853764915
C18.neg_Cluster_0090..acetytyrosine	diagnosis_modified	CD	-0.73819770059351	0.362848921895907	220	204	0.0433260521777912	0.164995102814054
C18.neg_Cluster_1292..chenodeoxycholate	diagnosis_modified	UC	1.22369430609419	0.601317032192621	220	195	0.0432676315102582	0.164995102814054
HILIC.pos_Cluster_0036..creatinine	diagnosis_modified	CD	1.66890341942538	0.821841647137466	220	213	0.0437103795965856	0.166079528854453
C18.neg_Cluster_1275..oleanolic.acid	diagnosis_modified	UC	-1.15268797270772	0.569217824324217	220	185	0.0442929413169943	0.167821867107834
C8.pos_Cluster_0264..linoleoyl.ethanolamide	diagnosis_modified	UC	1.1169786833164	0.551786697345902	220	217	0.0443701699008123	0.167821867107834
HILIC.neg_Cluster_0020..lactate	diagnosis_modified	CD	0.995171846444651	0.492047243092205	220	220	0.0445555357560905	0.168141705070495
HILIC.pos_Cluster_0268..pyridoxamine	immunosuppressant	Yes	0.561841911015777	0.277927152117842	220	219	0.0446566349113589	0.168142814970986
C18.neg_Cluster_1196..glycodeoxycholic.acid	diagnosis_modified	CD	-1.45587075958764	0.720622162791847	220	177	0.044787009862099	0.168253901914372
HILIC.pos_Cluster_0032..cytosine	antibiotic	Yes	1.31726875689266	0.654333690924668	220	198	0.0455410873195853	0.170702322806895
C18.neg_Cluster_1292..chenodeoxycholate	antibiotic	Yes	1.27400202602966	0.634653837728945	220	195	0.0461550071890461	0.172615587424504
HILIC.pos_Cluster_1580..C18.2.carnitine	antibiotic	Yes	1.46469663023769	0.730270277171907	220	158	0.0463385003087981	0.172914135380481
C18.neg_Cluster_0268..hexadecanedioic.acid	mesalamine	Yes	0.357672340906051	0.178591488896964	220	217	0.0466574486552647	0.172948259154693
HILIC.neg_Cluster_0020..lactate	steroids	Yes	0.804156765786139	0.401501949143995	220	220	0.0466432223564053	0.172948259154693
HILIC.pos_Cluster_0156..glutamine	diagnosis_modified	UC	0.612426388445261	0.305796003810922	220	220	0.0466587030093595	0.172948259154693
HILIC.neg_Cluster_0192..ribitol	antibiotic	Yes	0.70663945811441	0.354116984319828	220	219	0.0474481705080349	0.17470981988389
HILIC.neg_Cluster_0740..deoxyinosine	antibiotic	Yes	-1.3785039482967	0.690310629239948	220	211	0.0472905475305369	0.17470981988389
HILIC.pos_Cluster_0298..dimethyllysine	diagnosis_modified	UC	0.806979412836217	0.404258871120943	220	220	0.0473715351938724	0.17470981988389
HILIC.neg_Cluster_0841..heptadecanoate	diagnosis_modified	CD	-0.838584650904299	0.421380464789984	220	219	0.0480459717597072	0.176521323557691
HILIC.pos_Cluster_0734..deoxyinosine	antibiotic	Yes	-1.37347459738473	0.691388239325739	220	190	0.0484410495169042	0.177581693613618
C18.neg_Cluster_0019..p.hydroxyphenylacetate	immunosuppressant	Yes	0.809796029087294	0.40794658060401	220	180	0.0486082427142405	0.177803835191564
C18.neg_Cluster_0164..palmitoleic.acid	immunosuppressant	Yes	-0.651427507121699	0.328332350923287	220	198	0.0487211372089955	0.177826820272657
HILIC.neg_Cluster_0062..alpha.ketoisovalerate	antibiotic	Yes	-1.17897981022243	0.595369967129516	220	211	0.0491502125703673	0.179001210845792
C18.neg_Cluster_2068..maslinic.acid	diagnosis_modified	UC	-1.0030711362149	0.507048470028671	220	92	0.0493763586712338	0.179433041968667
HILIC.pos_Cluster_1148..linoleoyl.ethanolamide	diagnosis_modified	UC	1.05810684616374	0.535832316565141	220	215	0.0497823001554729	0.18051494925941
C18.neg_Cluster_1941..arachidonic.acid	antibiotic	Yes	0.709348379937021	0.36065538043321	220	170	0.0506899916514403	0.182817635598366
C8.pos_Cluster_0515..beta.sitosterol	immunosuppressant	Yes	0.73624845530067	0.374648393421477	220	210	0.0508832891302236	0.182817635598366
HILIC.neg_Cluster_0003..propionate	immunosuppressant	Yes	0.552376671948844	0.280691753738791	220	218	0.0505644933676631	0.182817635598366
HILIC.pos_Cluster_0728..2.deoxyadenosine	diagnosis_modified	UC	-1.38512920461732	0.7044266253393	220	164	0.0507493287471592	0.182817635598366
HILIC.pos_Cluster_1374..C14.carnitine	mesalamine	Yes	-0.811679702348942	0.413180245734257	220	100	0.0509653480535012	0.182817635598366
HILIC.pos_Cluster_0817..atenolol	antibiotic	Yes	-1.86807465092752	0.953237378087921	220	117	0.0515230563274971	0.184421583592844
HILIC.neg_Cluster_0103..acetylalanine	steroids	Yes	0.426116324067878	0.217625649307909	220	220	0.0517228147071667	0.184740160453007
C18.neg_Cluster_1621..cholate	steroids	Yes	1.05557769497799	0.541458844313932	220	108	0.0527385043466824	0.187965438568945
HILIC.pos_Cluster_0079..pyroglutamic.acid	diagnosis_modified	CD	0.630003360288333	0.323482891739888	220	218	0.0529726167365913	0.188397280845702
HILIC.pos_Cluster_1374..C14.carnitine	immunosuppressant	Yes	-0.754439248059193	0.3884115803196	220	100	0.0536023546043374	0.190231335063904
C18.neg_Cluster_0729..docosapentaenoic.acid	diagnosis_modified	UC	0.85343824337578	0.440457129041967	220	112	0.0541840940243575	0.190984052340042
C18.neg_Cluster_1722..cholate	steroids	Yes	0.94179018603435	0.486657067222143	220	124	0.0544794428493113	0.190984052340042
C18.neg_Cluster_1941..arachidonic.acid	steroids	Yes	0.515474547019152	0.265844167298725	220	170	0.0540132532160486	0.190984052340042
C8.pos_Cluster_0478..cholestenone	steroids	Yes	-0.910467550904325	0.470451198307154	220	220	0.05446911074416	0.190984052340042
HILIC.neg_Cluster_0032..2.aminobutyric.acid	mesalamine	Yes	-0.715042876523419	0.369296210063285	220	220	0.0543550405223106	0.190984052340042
HILIC.neg_Cluster_0059..proline	diagnosis_modified	UC	0.712235695751618	0.368071817319843	220	220	0.0545014441929618	0.190984052340042
C8.pos_Cluster_0515..beta.sitosterol	diagnosis_modified	UC	-1.04979777712568	0.543013043360723	220	210	0.054719674041399	0.191346784698225
HILIC.pos_Cluster_0081..pipecolic.acid	immunosuppressant	Yes	0.695375830143806	0.359896265402927	220	219	0.0548595301768963	0.19143451116122
C8.pos_Cluster_0166..sphingosine	steroids	Yes	0.696879054636364	0.36098524708033	220	215	0.055066725550471	0.191756363712287
HILIC.pos_Cluster_1370..5alpha.cholestanol	steroids	Yes	-1.32825110462435	0.688374415199792	220	134	0.0551845668418824	0.191766369775541
HILIC.neg_Cluster_0032..2.aminobutyric.acid	diagnosis_modified	CD	0.92168175057193	0.479734695269005	220	220	0.0562313923501474	0.194997842910698
C8.pos_Cluster_0341..N.oleoylethanolamine	diagnosis_modified	UC	0.949254795586354	0.495347920307806	220	214	0.0568550976359198	0.196344312332742
HILIC.pos_Cluster_0062..nicotinic.acid	mesalamine	Yes	0.411687986544945	0.214785162521514	220	219	0.056803426868542	0.196344312332742
C18.neg_Cluster_1275..oleanolic.acid	immunosuppressant	Yes	0.751119102069343	0.392728215274693	220	185	0.0573399338971921	0.197609524257265
HILIC.neg_Cluster_0015..alanine	diagnosis_modified	CD	0.628739176290231	0.32937982369964	220	220	0.0578200852129353	0.198853406464281
C18.neg_Cluster_0591..eicosatrienoic.acid	diagnosis_modified	UC	0.904097704630101	0.474859981950713	220	119	0.0584637702489049	0.200241414322738
HILIC.neg_Cluster_0480..1.3.7.trimethylurate	diagnosis_modified	CD	-1.21840471410869	0.639773440959751	220	212	0.0583973730357055	0.200241414322738
C18.neg_Cluster_0930..cholate	steroids	Yes	0.909641865653134	0.479454253411143	220	220	0.0593450728274763	0.200786169322983
C18.neg_Cluster_1596..oleanolic.acid	diagnosis_modified	UC	-1.08735202438737	0.572974327580443	220	178	0.0592802938471758	0.200786169322983
HILIC.neg_Cluster_0125..phenylacetate	steroids	Yes	-0.794098002769267	0.417982352466103	220	213	0.0590018385545282	0.200786169322983
HILIC.neg_Cluster_0203..orotate	steroids	Yes	-0.758039234920383	0.399419862461774	220	220	0.059264634054612	0.200786169322983
HILIC.neg_Cluster_0562..ethyl.glucuronide	immunosuppressant	Yes	-1.21255336452479	0.638977053393043	220	117	0.0592915405355791	0.200786169322983
HILIC.pos_Cluster_0151..butyrobetaine	mesalamine	Yes	0.540794048228135	0.284474320294953	220	220	0.0588443839249273	0.200786169322983
C18.neg_Cluster_0244..alpha.linolenic.acid	steroids	Yes	-0.862156132625766	0.456574528871002	220	218	0.0605404957635772	0.204416086910216
C8.pos_Cluster_0554..cholestenone	steroids	Yes	-0.754258525141097	0.39979533503694	220	220	0.0607706663333377	0.204778730189914
C18.neg_Cluster_0591..eicosatrienoic.acid	steroids	Yes	0.695871440496696	0.369431307928789	220	119	0.061175695468454	0.205314004107407
HILIC.pos_Cluster_0914..8.hydroxy.deoxyguanosine	diagnosis_modified	CD	-1.11268952784875	0.590472504175037	220	209	0.0610700346994593	0.205314004107407
HILIC.pos_Cluster_0254..3.methylxanthine	antibiotic	Yes	-1.44739265922174	0.770659850691118	220	180	0.0619294590836092	0.207426381027028
C8.pos_Cluster_0123..sphingosine	immunosuppressant	Yes	-0.521865827540449	0.2797500438831	220	218	0.0636900450526167	0.212045898498532
HILIC.neg_Cluster_0118..malate	mesalamine	Yes	-0.38134328729342	0.204381175203208	220	220	0.0636377274296514	0.212045898498532
HILIC.pos_Cluster_0172..triethanolamine	diagnosis_modified	CD	-0.86754782844854	0.465038058311598	220	216	0.0636802262665763	0.212045898498532
HILIC.pos_Cluster_0152..acetylcholine	immunosuppressant	Yes	0.855120633192622	0.458976957586194	220	217	0.064024556752465	0.212734981400621
HILIC.neg_Cluster_0159..alpha.ketoglutarate	mesalamine	Yes	-0.868567796337502	0.467355426931763	220	169	0.0646818360678001	0.214491655191035
HILIC.pos_Cluster_0114..2.hydroxyphenethylamine	steroids	Yes	0.861401945737342	0.464349661830966	220	218	0.0651685996426267	0.215677032150598
C18.neg_Cluster_0394..9.10.diHOME	antibiotic	Yes	-0.884267357591509	0.477049958110526	220	216	0.0653778447540264	0.215941079306369
C18.neg_Cluster_1596..oleanolic.acid	antibiotic	Yes	-1.11779440721621	0.604739823505622	220	178	0.0661336579101494	0.217765045383889
HILIC.neg_Cluster_0162..glutamine	diagnosis_modified	UC	0.981152299877318	0.5309285145234	220	217	0.0661911738666857	0.217765045383889
HILIC.neg_Cluster_0697..pentadecanoate	antibiotic	Yes	-0.921062184150563	0.499362510628263	220	220	0.0667042073774872	0.21862234225442
HILIC.pos_Cluster_1113..phytosphingosine	diagnosis_modified	CD	0.59331408755193	0.321682344922192	220	220	0.0667138922107314	0.21862234225442
HILIC.neg_Cluster_0066..valine	diagnosis_modified	UC	0.679172032542863	0.368931742884765	220	220	0.0672269733884271	0.21987174825862
C18.neg_Cluster_1596..oleanolic.acid	immunosuppressant	Yes	0.725694833041214	0.395319990789177	220	178	0.0679964981697486	0.22113929186564
C8.pos_Cluster_0288..palmitoyl.glycerol	diagnosis_modified	UC	0.465291578245565	0.253271472316124	220	220	0.067786993605783	0.22113929186564
HILIC.pos_Cluster_0082..N.methylproline	mesalamine	Yes	1.11371893887351	0.606729953287059	220	215	0.0680122642248641	0.22113929186564
C8.pos_Cluster_0288..palmitoyl.glycerol	diagnosis_modified	CD	0.441612922234436	0.241475762288507	220	220	0.0690298074693846	0.223242601754576
HILIC.pos_Cluster_0333..tyrosine	immunosuppressant	Yes	0.393590772685671	0.215061270324829	220	220	0.068830608214875	0.223242601754576
HILIC.pos_Cluster_0521..L.1.2.3.4.tetrahydro.beta.carboline.3.carboxylic.acid.	mesalamine	Yes	0.532840943942233	0.291392267516366	220	211	0.0690606609744371	0.223242601754576
C18.neg_Cluster_1275..oleanolic.acid	steroids	Yes	-0.808994787060686	0.442839770310022	220	185	0.0693275833766863	0.22367197112633
C18.neg_Cluster_0472..docosahexaenoic.acid	steroids	Yes	0.656836270339364	0.35975904870792	220	220	0.0694889321795387	0.223759727558823
HILIC.neg_Cluster_0034..alpha.hydroxybutyrate	mesalamine	Yes	-0.629787262852492	0.346214465957684	220	220	0.070509364894548	0.226608132262247
C18.neg_Cluster_1574..taurochenodesoxycholic.acid	diagnosis_modified	CD	1.4175873571895	0.781000320459574	220	188	0.0711205694010894	0.227270002651993
HILIC.pos_Cluster_0151..butyrobetaine	immunosuppressant	Yes	0.48547865741447	0.267421110875596	220	220	0.0710716707407212	0.227270002651993
HILIC.pos_Cluster_0540..pantothenate	steroids	Yes	-0.425283329850805	0.234306944910053	220	220	0.0711240655781418	0.227270002651993
C18.neg_Cluster_0472..docosahexaenoic.acid	immunosuppressant	Yes	-0.577981045885667	0.319048871850581	220	220	0.0716649437033699	0.22856047054918
HILIC.neg_Cluster_0020..lactate	immunosuppressant	Yes	-0.644401387900357	0.356068163901005	220	220	0.0719457739605745	0.229018227034806
HILIC.pos_Cluster_0022..choline	immunosuppressant	Yes	-0.366778989909442	0.202812792265014	220	220	0.0721499283857083	0.229230629614022
C18.neg_Cluster_0250..oleic.acid	diagnosis_modified	CD	-0.909440093537443	0.504274365074067	220	220	0.0729338768893335	0.23128081112435
HILIC.neg_Cluster_0040..pyrocatechol	immunosuppressant	Yes	0.606877551257949	0.33733369080224	220	211	0.0736331164548779	0.23305510103745
HILIC.neg_Cluster_0203..orotate	mesalamine	Yes	-0.676498666047725	0.376810091065889	220	220	0.0742244722742119	0.23430508365735
HILIC.pos_Cluster_0046..valine	diagnosis_modified	UC	0.530903123211156	0.295800372198047	220	220	0.074308986363752	0.23430508365735
HILIC.pos_Cluster_0089..hydroxyproline	antibiotic	Yes	0.906648064848857	0.506096306586456	220	220	0.0748463273719235	0.235554101993148
HILIC.neg_Cluster_0125..phenylacetate	immunosuppressant	Yes	0.663582262983198	0.37068365197961	220	213	0.0750551176353404	0.235766358221747
C18.neg_Cluster_1258..cholate	steroids	Yes	0.870761099260211	0.487285283788058	220	220	0.0755718681158338	0.236943375972201
C18.neg_Cluster_0361..eicosatrienoic.acid	steroids	Yes	0.757147418658996	0.423927095149423	220	206	0.075723117722549	0.236972158276195
C18.neg_Cluster_0183..1.2.3.4.tetrahydro.b.carboline.1.3.dicarboxylic.acid	antibiotic	Yes	-0.879138074964638	0.493540371140973	220	171	0.076497103291976	0.23780940560613
HILIC.neg_Cluster_0182..guanine	antibiotic	Yes	-1.28051687831125	0.718517879461581	220	175	0.0763538037489007	0.23780940560613
HILIC.neg_Cluster_0247..L.phenyllactic.acid	diagnosis_modified	UC	1.02349569496815	0.574231751777142	220	214	0.0763195063912872	0.23780940560613
HILIC.pos_Cluster_0009..beta.alanine	immunosuppressant	Yes	1.07206039140063	0.602135032400366	220	203	0.0766376798765978	0.23780940560613
HILIC.pos_Cluster_1017..sphinganine	diagnosis_modified	UC	-0.706878358836838	0.397115791423355	220	220	0.0767035133190036	0.23780940560613
HILIC.neg_Cluster_0034..alpha.hydroxybutyrate	diagnosis_modified	CD	0.799696920375479	0.449750327238583	220	220	0.0770226692103084	0.238355866869748
HILIC.neg_Cluster_0372..N.acetylglutamate	steroids	Yes	-0.414779789512113	0.2338787841181	220	220	0.0777852545355932	0.239726207354387
HILIC.pos_Cluster_0066..taurine	immunosuppressant	Yes	0.855306544449602	0.482436514639032	220	219	0.07788374977491	0.239726207354387
HILIC.pos_Cluster_0374..N.acetylspermidine	antibiotic	Yes	-0.823144271989114	0.46431565954786	220	220	0.0778966453153942	0.239726207354387
HILIC.neg_Cluster_0062..alpha.ketoisovalerate	immunosuppressant	Yes	0.689380227851564	0.389194891378945	220	211	0.0781487176134098	0.240059044160529
C18.neg_Cluster_0563..palmitoylethanolamide	diagnosis_modified	UC	0.778950524141422	0.441230775216962	220	208	0.079136781895435	0.241758520515724
HILIC.pos_Cluster_0022..choline	diagnosis_modified	CD	0.494921280849704	0.280265088022801	220	220	0.0790525277479686	0.241758520515724
HILIC.pos_Cluster_0658..geranyl.acetoacetate.	mesalamine	Yes	0.438248322528651	0.248220777378493	220	217	0.0791107205512311	0.241758520515724
HILIC.pos_Cluster_0172..triethanolamine	mesalamine	Yes	0.631037784119213	0.35798284794341	220	216	0.079583317138342	0.242678195588216
HILIC.pos_Cluster_0447..ADMA	antibiotic	Yes	0.664706763416078	0.377946641154387	220	220	0.0802675551739787	0.244318032901818
C18.neg_Cluster_1045..chenodeoxycholate	diagnosis_modified	UC	1.26577854227404	0.720424566616746	220	159	0.0805649647814446	0.244331565918999
HILIC.pos_Cluster_0048..betaine	diagnosis_modified	UC	1.00294662236277	0.570802160987117	220	210	0.0805490585890435	0.244331565918999
C18.neg_Cluster_0394..9.10.diHOME	immunosuppressant	Yes	0.547142966626297	0.311848794665128	220	216	0.0809892336169074	0.245172489424685
HILIC.pos_Cluster_0177..4.hydroxy.3.methylacetophenone	immunosuppressant	Yes	0.516313107559309	0.295542040112704	220	210	0.0822872103608795	0.248650483481788
HILIC.pos_Cluster_0521..L.1.2.3.4.tetrahydro.beta.carboline.3.carboxylic.acid.	antibiotic	Yes	-0.731145969638192	0.419035131566326	220	211	0.0826657352261469	0.249342579307799
HILIC.pos_Cluster_0046..valine	diagnosis_modified	CD	0.491687442572358	0.282023947302652	220	220	0.0829118467480545	0.249633502483312
C18.neg_Cluster_1275..oleanolic.acid	mesalamine	Yes	0.727763845991218	0.417772148710021	220	185	0.0831594917877916	0.249927986129795
C8.pos_Cluster_0705..cholestenone	diagnosis_modified	UC	-0.929957757072375	0.535065723852073	220	125	0.083861343427999	0.250836410280636
HILIC.neg_Cluster_0677..cystine	mesalamine	Yes	-0.79171810258329	0.455585843923993	220	173	0.0839007572534647	0.250836410280636
HILIC.pos_Cluster_0062..nicotinic.acid	steroids	Yes	-0.395634900566473	0.227672936864559	220	219	0.0839128998420834	0.250836410280636
C18.neg_Cluster_0244..alpha.linolenic.acid	mesalamine	Yes	0.746404591524044	0.430729430283935	220	218	0.0847735337536677	0.252053929235504
HILIC.neg_Cluster_0697..pentadecanoate	steroids	Yes	-0.63830584697507	0.368087149174684	220	220	0.0845543396619463	0.252053929235504
HILIC.pos_Cluster_0009..beta.alanine	antibiotic	Yes	-1.59669285954193	0.92111464561513	220	203	0.0846754592488518	0.252053929235504
C18.neg_Cluster_0731..lithocholic.acid	diagnosis_modified	UC	-1.2841252575878	0.742655395744474	220	212	0.0854504373116015	0.253163995445384
C8.pos_Cluster_0123..sphingosine	diagnosis_modified	UC	0.701345112072749	0.40546796777095	220	218	0.0853396365267066	0.253163995445384
C18.neg_Cluster_1131..arachidonic.acid	antibiotic	Yes	0.58814683852243	0.340659219469784	220	220	0.0859185709051353	0.254099603315187
C18.neg_Cluster_1372..cholate	steroids	Yes	0.998049676085263	0.579162406379368	220	117	0.0865026483035692	0.255374190036024
HILIC.neg_Cluster_0129..salicylate	antibiotic	Yes	0.834597612358953	0.487448909394576	220	213	0.0885311388389831	0.260900953327604
C18.neg_Cluster_0090..acetytyrosine	immunosuppressant	Yes	0.448340871813	0.262574277585626	220	204	0.0894010531728267	0.262999923619533
C18.neg_Cluster_0025..acesulfame	immunosuppressant	Yes	0.986683167887522	0.578495153385206	220	106	0.0897513139770328	0.263565478369174
C18.neg_Cluster_0019..p.hydroxyphenylacetate	diagnosis_modified	CD	0.9602734586083	0.56373753866662	220	180	0.0901624661455946	0.263807751303533
HILIC.neg_Cluster_0036..glycerate	diagnosis_modified	UC	-0.47192115099405	0.277309438819912	220	220	0.0904664470897009	0.263807751303533
HILIC.neg_Cluster_0112..asparagine	diagnosis_modified	UC	1.31349634458465	0.771647942467438	220	176	0.0903892378121212	0.263807751303533
HILIC.pos_Cluster_0244..methionine.sulfoxide	diagnosis_modified	CD	0.439062791267474	0.257860200754516	220	220	0.0902916297348462	0.263807751303533
HILIC.neg_Cluster_0166..glutamate	diagnosis_modified	CD	-0.475239915277545	0.280116277244418	220	220	0.0914487766944232	0.266206910168059
HILIC.neg_Cluster_0079..4.hydroxybenzaldehyde	diagnosis_modified	CD	-0.545745890151044	0.322045670388299	220	220	0.091820608898585	0.266823650945714
HILIC.neg_Cluster_0105..leucine	diagnosis_modified	UC	0.574326775476443	0.339193062344827	220	220	0.0920886601488464	0.267137191527436
HILIC.pos_Cluster_0927..piperine	mesalamine	Yes	0.900487479074366	0.533859681989989	220	217	0.0933280017355282	0.270262338359134
HILIC.neg_Cluster_0087..thymine	diagnosis_modified	UC	-0.734470821843032	0.435713056689271	220	220	0.0935351437095073	0.270392755125577
HILIC.pos_Cluster_0384..N.acetylglutamic.acid	antibiotic	Yes	-0.635376377155722	0.377405036542185	220	220	0.0939482203045463	0.271117009460179
C18.neg_Cluster_0004..4.hydroxystyrene	mesalamine	Yes	1.13091754453797	0.672175163749095	220	148	0.0941548072803035	0.271243900766056
HILIC.pos_Cluster_0007..putrescine	steroids	Yes	0.720073483927797	0.428636163100887	220	208	0.0946521271502243	0.272206462218231
C8.pos_Cluster_1849..cholestenone	steroids	Yes	-1.85821614763491	1.10744991005772	220	123	0.0950415138440024	0.272387019058069
HILIC.neg_Cluster_0034..alpha.hydroxybutyrate	steroids	Yes	0.615997651133239	0.366988405177595	220	220	0.0949247514658016	0.272387019058069
HILIC.pos_Cluster_0272..3.methylhistidine	diagnosis_modified	CD	-0.688698818870089	0.411359151539508	220	220	0.095771342837709	0.274007889971353
C8.pos_Cluster_0705..cholestenone	steroids	Yes	-0.694781839364496	0.416270137943635	220	125	0.0967868280150591	0.274092409387298
HILIC.neg_Cluster_0328..homovanillate	steroids	Yes	0.993528198395949	0.594269340823804	220	198	0.0962356618532518	0.274092409387298
HILIC.neg_Cluster_0331..sorbitol	antibiotic	Yes	0.706410450807717	0.422486113564645	220	220	0.0961993102970023	0.274092409387298
HILIC.pos_Cluster_0156..glutamine	diagnosis_modified	CD	0.486847583591305	0.291554048506713	220	220	0.0966337761980001	0.274092409387298
HILIC.pos_Cluster_0495..N.acetylglutamic.acid	antibiotic	Yes	-0.629612348933631	0.377092508032021	220	214	0.0966708258481598	0.274092409387298
HILIC.pos_Cluster_0658..geranyl.acetoacetate.	steroids	Yes	-0.439489504135197	0.263114792069982	220	217	0.096535258820877	0.274092409387298
HILIC.neg_Cluster_0220..3.methyladipate.pimelate	steroids	Yes	-1.25188139678593	0.751549968757885	220	180	0.0974499578440188	0.275502592684446
HILIC.neg_Cluster_0324..tyrosine	immunosuppressant	Yes	0.391870065773446	0.236574719566684	220	220	0.0993202209244459	0.280199828350935
HILIC.pos_Cluster_0114..2.hydroxyphenethylamine	mesalamine	Yes	-0.725349359615963	0.438064439966819	220	218	0.0994474210933773	0.280199828350935
C18.neg_Cluster_1324..docosapentaenoic.acid	immunosuppressant	Yes	-0.573268772922341	0.346662877523923	220	160	0.0998796678102952	0.280943146555771
HILIC.pos_Cluster_0268..pyridoxamine	mesalamine	Yes	0.488221855870779	0.295650322561913	220	219	0.100354664931952	0.281804008596796
HILIC.neg_Cluster_1571..glycocholate	mesalamine	Yes	-0.948604096942137	0.575020274075487	220	194	0.100694503820812	0.28228307961868
C18.neg_Cluster_1465..taurolithocholic.acid	immunosuppressant	Yes	0.799660416110967	0.486694196634395	220	99	0.10206304477417	0.285161069821299
HILIC.pos_Cluster_0022..choline	antibiotic	Yes	0.509900149846714	0.310252390611927	220	220	0.101968586099418	0.285161069821299
C8.pos_Cluster_0100..7.hexadecenoic.acid.methyl.ester	antibiotic	Yes	0.32655032808745	0.199255825796397	220	220	0.102934966751882	0.287116261776154
C8.pos_Cluster_0166..sphingosine	diagnosis_modified	UC	0.75907990054665	0.464003575858497	220	215	0.103544126128864	0.288333226014934
C18.neg_Cluster_0031..phenyllactate	mesalamine	Yes	1.40342049658799	0.859664759167142	220	205	0.104261609195708	0.289847273564067
C8.pos_Cluster_0416..cholesterol	steroids	Yes	0.731149952347067	0.449715214022319	220	220	0.105683924278565	0.292991457450569
C8.pos_Cluster_0988..sphingosine	immunosuppressant	Yes	-0.53944135630242	0.331856704571963	220	186	0.105743919295709	0.292991457450569
C18.neg_Cluster_0244..alpha.linolenic.acid	diagnosis_modified	UC	-0.952919743145853	0.586872221941275	220	218	0.106127787950989	0.293567413436566
C18.neg_Cluster_1178..cholate	steroids	Yes	0.845567687562466	0.524035354000772	220	161	0.108316009699433	0.298831207332294
C8.pos_Cluster_0988..sphingosine	steroids	Yes	0.603673972895239	0.374201142450888	220	186	0.108389017047984	0.298831207332294
C18.neg_Cluster_1596..oleanolic.acid	steroids	Yes	-0.718003743628156	0.445762252649943	220	178	0.108933746497655	0.299343474725024
HILIC.pos_Cluster_1370..5alpha.cholestanol	diagnosis_modified	UC	-1.42533829221651	0.884823390334085	220	134	0.108903045282644	0.299343474725024
C18.neg_Cluster_0833..deoxycholic.acid	diagnosis_modified	UC	-1.17524327840071	0.73068475352976	220	213	0.109440679314842	0.299901511964198
C18.neg_Cluster_1060..chenodeoxycholate	diagnosis_modified	UC	0.979577827395621	0.610304926769474	220	118	0.11017647132414	0.299901511964198
HILIC.neg_Cluster_0016..oxalate	diagnosis_modified	CD	0.755043578980924	0.470476522479158	220	213	0.11022368087751	0.299901511964198
HILIC.neg_Cluster_0064..caproic.acid	antibiotic	Yes	-1.17950638388917	0.73532127382742	220	215	0.110395400687061	0.299901511964198
HILIC.neg_Cluster_0161..2.methylglutaric.acid	mesalamine	Yes	0.59122152217193	0.367879045618373	220	220	0.109726816626306	0.299901511964198
HILIC.pos_Cluster_0134..proline.betaine	steroids	Yes	0.697740625340956	0.434563880572672	220	217	0.110055812329037	0.299901511964198
HILIC.pos_Cluster_0245..1.methylguanine	diagnosis_modified	CD	-2.05095341759014	1.27691099068686	220	182	0.109929954347057	0.299901511964198
C18.neg_Cluster_0486..carnosol	immunosuppressant	Yes	0.821559920440707	0.513388545043994	220	159	0.111235997076786	0.30169372865704
HILIC.pos_Cluster_0495..N.acetylglutamic.acid	steroids	Yes	-0.444280221988113	0.277960205867289	220	214	0.111660452603118	0.302353303477273
C18.neg_Cluster_0031..phenyllactate	immunosuppressant	Yes	1.28835485181725	0.80813095761585	220	205	0.112580077619717	0.303366024991418
C18.neg_Cluster_1275..oleanolic.acid	antibiotic	Yes	-0.957872301843274	0.600775061025318	220	185	0.112545573175513	0.303366024991418
HILIC.neg_Cluster_0085..taurine	immunosuppressant	Yes	0.727217596909444	0.456061047134867	220	220	0.112508020372065	0.303366024991418
C18.neg_Cluster_0144..2.hydroxymyristic.acid	steroids	Yes	-0.506199832371094	0.318234708464148	220	220	0.113386704667041	0.304555593211954
C18.neg_Cluster_0729..docosapentaenoic.acid	immunosuppressant	Yes	-0.483534459453077	0.303890593023912	220	112	0.113274750303796	0.304555593211954
C18.neg_Cluster_2068..maslinic.acid	antibiotic	Yes	-0.850134750486575	0.535159059514555	220	92	0.113857108012909	0.305327421487994
C18.neg_Cluster_1372..cholate	diagnosis_modified	UC	1.18161458884471	0.744444349835264	220	117	0.11415597065147	0.305637494456905
HILIC.neg_Cluster_0034..alpha.hydroxybutyrate	immunosuppressant	Yes	-0.516239333524908	0.32546015749896	220	220	0.114396423424971	0.305790439539826
HILIC.pos_Cluster_0453..C2.carnitine	immunosuppressant	Yes	-0.959631757316067	0.605802945881602	220	145	0.114877502408257	0.306585078427157
C18.neg_Cluster_0183..1.2.3.4.tetrahydro.b.carboline.1.3.dicarboxylic.acid	steroids	Yes	-0.573466860760821	0.363795568048023	220	171	0.116645898010063	0.310807280959719
HILIC.neg_Cluster_0335..4.pyridoxate	steroids	Yes	-0.511091755822079	0.325022027671372	220	220	0.117537963363237	0.312684725502199
C18.neg_Cluster_0833..deoxycholic.acid	immunosuppressant	Yes	0.78937058679222	0.504131295471738	220	213	0.119094340058427	0.315817741204223
HILIC.neg_Cluster_0230..levoglucosan	mesalamine	Yes	0.516713202494172	0.329981916148302	220	215	0.119075648138665	0.315817741204223
